symbol,year,sub_sector_id,eps_estimate,revenue_estimate
LPKR.JK,2023,7,10.16,14800000000.0
LPKR.JK,2024,7,11.0,17000000000.0
LPPF.JK,2023,14,406.8,7470000000.0
LPPF.JK,2024,14,452.91,8039999999.999999
LSIP.JK,2023,2,111.95,4230000000.0000005
LSIP.JK,2024,2,126.4,4460000000.0
MAIN.JK,2023,2,-30.9,11820000000.0
MAIN.JK,2024,2,57.5,12880000000.0
MAPA.JK,2023,14,48.89,12690000000.0
MAPA.JK,2024,14,61.07,16020000000.0
MAPI.JK,2023,14,132.12,32659999999.999996
MAPI.JK,2024,14,146.89,37120000000.0
MBSS.JK,2023,18,,1140000000.0
MBSS.JK,2024,18,,1290000000.0
MCAS.JK,2023,30,11.6,12970000000.0
MCAS.JK,2024,30,38.31,13810000000.0
MDKA.JK,2023,8,30.8,24990000000000.0
MDKA.JK,2024,8,61.6,35510000000000.0
MEDC.JK,2023,18,184.79,33549999999999.996
MEDC.JK,2024,18,200.19,32600000000000.0
MIKA.JK,2023,23,69.81,4340000000.0
MIKA.JK,2024,23,80.91,4860000000.0
MLBI.JK,2023,2,514.51,3520000000.0
MLBI.JK,2024,2,565.98,3880000000.0
MPMX.JK,2023,14,,12470000000.0
MPMX.JK,2024,14,,13510000000.0
MPPA.JK,2023,15,,9190000000.0
MTDL.JK,2023,31,,24020000000.0
MTDL.JK,2024,31,,27630000000.0
MTEL.JK,2023,6,24.65,8610000000.0
MTEL.JK,2024,6,27.9,9270000000.0
MYOR.JK,2023,2,119.8,33009999999.999996
MYOR.JK,2024,2,141.35,36310000000.0
PBRX.JK,2023,9,,482000000.0
PBRX.JK,2024,9,,553000000.0
PGAS.JK,2023,18,169.39,53040000000000.0
PGAS.JK,2024,18,184.79,53620000000000.0
PNLF.JK,2023,4,,4580000000.0
PNLF.JK,2024,4,,4870000000.0
POWR.JK,2023,29,,8560000000000.001
POWR.JK,2024,29,92.4,8550000000000.001
PTBA.JK,2023,18,548.25,38740000000.0
PTBA.JK,2024,18,467.25,37610000000.0
PTPP.JK,2023,27,104.6,23260000000.0
PTPP.JK,2024,27,53.9,23340000000.0
PWON.JK,2023,7,40.68,6080000000.0
PWON.JK,2024,7,43.99,6490000000.0
PZZA.JK,2023,11,1.4,3730000000.0
PZZA.JK,2024,11,8.3,3880000000.0
RALS.JK,2023,14,49.32,3440000000.0
RALS.JK,2024,14,58.06,3770000000.0
ROTI.JK,2023,2,59.72,4099999999.9999995
ROTI.JK,2024,2,75.6,4560000000.0
SAME.JK,2023,23,,954000000.0
SAME.JK,2024,23,,1140000000.0
SCMA.JK,2023,13,12.55,6770000000.0
SCMA.JK,2024,13,15.15,7400000000.0
SIDO.JK,2023,24,32.79,3630000000.0
SIDO.JK,2024,24,35.68,3820000000.0
SILO.JK,2023,23,80.73,10960000000.0
SILO.JK,2024,23,92.11,12120000000.0
SIMP.JK,2023,2,16.0,13690000000.0
SIMP.JK,2024,2,17.6,15180000000.0
