symbol,revenue_year_ago,total_revenue,basic_eps,sub_sector_id
BRAM.JK,,5192208296189.84,1102.76690793175,10
BREN.JK,,8824923157322.33,10.5475318019876,29
BRIS.JK,15590000000.0,18382517000000.0,102.54,19
BRMS.JK,157800000000.0,180352648977.967,1.54882992687043,8
BRNA.JK,,1053041832000.0,-137.0,8
BRPT.JK,44370000000000.0,45869093909844.4,0.309765985374086,8
BSBK.JK,,264970806841.0,0.18,7
BSDE.JK,10240000000.0,10235479955727.0,116.34,7
BSIM.JK,,3274874000000.0,11.22,19
BSSR.JK,,15937705653876.3,1420.27704294018,18
BSWD.JK,,148641088744.0,5.993636,19
BTEK.JK,,153501795074.0,-2.88,2
BTEL.JK,2770000000.0,47850000000.0,-3.27,6
BTPN.JK,12460000000.0,13135471000000.0,384.0,19
BTPS.JK,5090000000.0,5043638000000.0,231.0,19
BUDI.JK,,3382326000000.0,19.77,2
BUKA.JK,3620000000.0,3618366163000.0,19.25,30
BUKK.JK,,4146850937000.0,171.0,27
BULL.JK,,1763325400940.41,-48.0137277329833,18
BUMI.JK,2790000000.0,28344825595024.5,48.6332597037315,18
BUVA.JK,,225866861630.0,-26.0,11
BVIC.JK,,702806763000.0,19.17,19
BWPT.JK,,4574124000000.0,0.55,2
BYAN.JK,,72851105771416.8,1084.1809488093,18
CAMP.JK,,1129360552136.0,20.6,2
CARE.JK,,233970724609.0,-2.81,23
CARS.JK,,5500697815577.0,9.12,14
CASA.JK,,11092797000000.0,0.51,21
CASS.JK,,1737746000000.0,61.0,28
CBUT.JK,,9619267000000.0,,2
CEKA.JK,,6143759424928.0,371.0,2
CENT.JK,,2320072000000.0,-68.83,6
CFIN.JK,1400000000.0,1265411579000.0,77.98,20
CHIP.JK,,147383062420.0,11.557681,31
CITA.JK,,5694017210214.0,188.0,8
CITY.JK,,36275071414.0,-3.94,7
CLAY.JK,,126226524149.0,-15.93,11
CLEO.JK,,1358708497805.0,16.0,2
CLPI.JK,,830942437933.0,115.66,8
CMNP.JK,,4463597398000.0,168.0,28
CMNT.JK,,9687149000000.0,-5.94,8
CMPP.JK,,3780525920680.0,-154.41,33
CMRY.JK,,6378348000000.0,133.66,2
CNKO.JK,,1375279833000.0,-5.98,18
CNMA.JK,,4401050000000.0,5.523835,11
CPIN.JK,56870000000.0,56867544000000.0,179.0,2
CPRO.JK,,8242343000000.0,6.3,2
CSAP.JK,9640000000.0,15447381020000.0,53.38752,14
CSMI.JK,,51673656616.0,-10.57,11
CTBN.JK,,2001335365843.13,-123.906394149634,8
CTRA.JK,9130000000.0,9126799000000.0,101.0,7
CTTH.JK,,115113867868.0,-26.95,5
DART.JK,,330155372000.0,-132.0,7
DEAL.JK,,90825390976.0,-1.141,32
DEPO.JK,,2572466670146.0,15.22,14
DEWA.JK,,406824600.0,-11.979663,18
DFAM.JK,,70533393491.0,-9.52,11
DGIK.JK,,373043766945.0,1.54,27
DILD.JK,3150000000.0,3148754966275.0,-9.54,7
DIVA.JK,,4868380395335.0,3.0,30
DKFT.JK,,777407701783.0,10.69,8
DLTA.JK,,778744315000.0,288.0,2
DMAS.JK,1930000000.0,1932425763139.0,25.26,7
DMMX.JK,,1938153436211.0,0.77,30
DMND.JK,,8461768000000.0,40.0,15
DNAR.JK,,451855209104.0,0.93,19
DNET.JK,,1138330000000.0,90.92,21
