symbol,year,eps_estimate,revenue_estimate
RALS.JK,2024,49.17,3684570000000
RALS.JK,2025,55.56,4075850000000
ROTI.JK,2024,69.15,4229470000000
ROTI.JK,2025,76.31,4536890000000
SAME.JK,2024,0.0,954000000000
SAME.JK,2025,0.0,1137000000000
SIDO.JK,2024,39.07,3975550000000
SIDO.JK,2025,42.22,4308350000000
SILO.JK,2024,93.36,12562300000000
SILO.JK,2025,120.01,13992300000000
SIMP.JK,2024,0.0,16315000000000
SIMP.JK,2025,0.0,17523000000000
SMBR.JK,2024,0.0,1730200000000
SMBR.JK,2025,0.0,1881230000000
SMCB.JK,2024,0.0,9574010000000
SMCB.JK,2025,0.0,10299800000000
SMGR.JK,2024,344.28,39476600000000
SMGR.JK,2025,390.38,41187700000000
SMRA.JK,2024,0.0,6658780000000
SMRA.JK,2025,56.05,7401740000000
SSIA.JK,2024,101.78,5568370000000
SSIA.JK,2025,94.98,5564360000000
SUPR.JK,2024,0.0,1908490000000
SUPR.JK,2025,0.0,2397520000000
TINS.JK,2024,118.4,10764000000000
TINS.JK,2025,156.1,12637000000000
TLKM.JK,2024,262.89,154433000000000
TLKM.JK,2025,278.51,160959000000000
TPIA.JK,2024,0.0,38621100000000
TPIA.JK,2025,16.22,39257600000000
UNTR.JK,2024,4664.09,119358000000000
UNTR.JK,2025,4329.68,117901000000000
UNVR.JK,2024,132.67,39504700000000
UNVR.JK,2025,139.0,40816000000000
WIKA.JK,2024,0.0,26391000000000
WIKA.JK,2025,0.0,29855000000000
WINS.JK,2024,0.0,954690000000
WINS.JK,2025,0.0,1012550000000
