symbol,revenue_year_ago,avg_estimate_earnings_current_year,avg_estimate_earnings_next_year,avg_estimate_revenue_current_year,avg_estimate_revenue_next_year,estimate_overall_growth_current_year,estimate_overall_growth_next_year,estimate_overall_growth_next_five_years,total_revenue,basic_eps,sub_sector_id,multiplier,ratio_mult
DILD.JK,3150000000000.0,,,3060000000.0,3130000000.0,,,0.08789999999999999,3148754966275.0,-9.54,7,1000,0.9996047511984127
DMAS.JK,1930000000000.0,23.9,23.44,1910000000.0,1890000000.0,-0.054000000000000006,-0.019,,1932425763139.0,25.26,7,1000,1.0012568720927462
DOID.JK,22910000000000.0,,,21310000000000.0,23850000000000.0,,,0.4326,24064320454057.9,57.771356272267,18,1,1.0503850045420295
EMTK.JK,15520000000000.0,10.42,18.42,16010000000.000002,17570000000.0,-0.883,0.768,,15524642337000.0,89.39,30,1000,1.0002991196520619
ENRG.JK,6120000000000.0,,,3170000000.0,,,,0.19399999999999998,6999778780908.57,41.6635250328145,18,1000,1.1437547027628383
ERAA.JK,49470000000000.0,51.71,66.14,56820000000.0,63490000000.0,-0.19,0.27899999999999997,,49471483883000.0,63.87,14,1000,1.000029995613503
ESSA.JK,10850000000000.0,15.68,15.68,4740000000000.0,4200000000000.0,-0.883,,11831.4004,11329547400476.2,137.303773017064,8,1,1.0441979170945805
EXCL.JK,29140000000000.0,106.84,136.47,31460000000.0,33600000000.0,0.018000000000000002,0.27699999999999997,0.2698,29141994000000.0,105.0,6,1000,1.000068428277282
GGRM.JK,124680000000000.0,3449.19,3602.52,130810000000.0,132650000000.0,1.3869999999999998,0.044000000000000004,-0.315,124682692000000.0,1445.0,3,1000,1.0000215912736605
GIAA.JK,31830000000000.0,,,3320000000.0,,,,,32526660682392.2,2190.81993155822,33,1,1.0218869205903927
GJTL.JK,14150000000000.0,,,15200000000.0,,,,0.1519,17170492000000.0,-52.0,10,1000,1.213462332155477
GOTO.JK,11350000000000.0,-10.59,-5.32,16910000000.0,21950000000.0,0.728,0.498,-0.5243,11349167000000.0,-37.68042,30,1000,0.9999266079295154
HEAL.JK,4900000000000.0,33.21,42.55,5720000000.0,6440000000.0,0.614,0.281,0.12789999999999999,4901810000000.0,20.64,23,1000,1.000369387755102
HMSP.JK,111210000000000.0,70.96,78.08,117090000000.0,124920000000.0,0.314,0.1,0.1343,111211321000000.0,54.0,3,1000,1.0000118784281988
HOKI.JK,1210000000000.0,,,1440000000.0,1830000000.0,,,,925708985640.0,0.19,2,1000,0.7650487484628099
HRUM.JK,13340000000000.0,266.61,250.93,13130000000000.0,15470000000000.0,-0.226,-0.059000000000000004,-3503.8601,14008203238887.0,352.51369135571,18,1,1.0500901978176163
ICBP.JK,64800000000000.0,782.65,828.01,69610000000.0,75480000000.0,0.991,0.057999999999999996,0.1288,64797516000000.0,393.0,2,1000,0.9999616666666666
INCO.JK,17329999999999.998,423.44,329.34,19620000000000.0,18040000000000.0,0.441,-0.222,1378.36,18267705549071.8,312.863645227827,8,1,1.0541088026007965
INDF.JK,110830000000000.0,1081.65,1205.75,115930000000.0,124860000000.0,0.494,0.115,0.0535,110830272000000.0,724.0,2,1000,1.0000024542091492
INDY.JK,64800000000000.0,721.42,376.39,53810000000000.0,43660000000000.0,-0.445,-0.478,-0.16570000000000001,67140394611915.9,1345.9332064504,18,1,1.0361172008011712
INTP.JK,16329999999999.998,569.34,638.6,17680000000.0,18640000000.0,0.075,0.122,-0.02,16328278000000.0,529.44,8,1000,0.9998945499081446
ISAT.JK,46750000000000.0,420.77,556.52,50550000000.0,53800000000.0,-0.284,0.32299999999999995,0.0862,46752319000000.0,587.41,6,1000,1.0000496042780749
ITMG.JK,53950000000000.0,8249.26,5144.02,41150000000000.0,32790000000000.0,-0.48,-0.376,-5074.8901000000005,56318755148753.0,16572.4802175136,18,1,1.0439064902456534
JKON.JK,4500000000000.0,,,6270000000.0,6730000000.0,,,,4465174493000.0,12.31,27,1000,0.9922609984444445
JPFA.JK,48970000000000.0,97.07,137.5,51320000000.0,54230000000.0,-0.204,0.41700000000000004,0.085,48972085000000.0,122.0,2,1000,1.000042577088013
JRPT.JK,2260000000000.0,,,2390000000.0,2570000000.0,,,,2258974450000.0,65.17,7,1000,0.9995462168141593
JSMR.JK,16579999999999.998,303.99,413.49,15390000000.0,17600000000.0,-0.19699999999999998,0.36,-0.0453,16582849000000.0,378.47,28,1000,1.000171833534379
KAEF.JK,6130000000000.0,,,7300000000.0,9050000000.0,,,,9606145359000.0,-32.29,24,1000,1.5670710210440457
KIJA.JK,2990000000000.0,,,4030000000.0000005,,,,0.1515,2720261372934.0,-3.12,7,1000,0.9097864123525083
KLBF.JK,28930000000000.0,69.24,79.84,31110000000.0,33830000000.0,-0.048,0.153,0.1525,28933502646719.0,72.71,24,1000,1.0001210731669201
LPCK.JK,1460000000000.0,,,1560000000.0,1740000000.0,,,,1243608000000.0,115.0,7,1000,0.851786301369863
LPKR.JK,14670000000000.0,10.16,11.0,14800000000.0,17000000000.0,1.2670000000000001,0.083,0.12390000000000001,14674086000000.0,-38.0,7,1000,1.000278527607362
LPPF.JK,6450000000000.0,406.8,452.91,7470000000.0,8039999999.999999,-0.301,0.113,0.0681,6454583000000.0,582.0,14,1000,1.0007105426356588
LSIP.JK,6360000000000.0,111.95,126.4,4230000000.0000005,4460000000.0,-0.263,0.129,-0.0087,4585348000000.0,152.0,2,1000,0.7209666666666666
MAIN.JK,11100000000000.0,-30.9,57.5,11820000000.0,12880000000.0,-3.575,2.861,,11101647275000.0,12.0,2,1000,1.0001484031531531
MAPA.JK,9800000000000.0,48.89,61.07,12690000000.0,16020000000.0,0.187,0.249,,9801240000000.0,41.2,14,1000,1.0001265306122449
MAPI.JK,26940000000000.0,132.12,146.89,32670000000.0,36880000000.0,0.032,0.11199999999999999,0.7212999999999999,26937340000000.0,128.0,14,1000,0.9999012620638456
MBSS.JK,915890000000.0,,,1140000000.0,1290000000.0,,,,1368763362268.25,223.031509469342,18,1000,1.494462612615325
MCAS.JK,12310000000000.0,11.6,38.31,12970000000.0,13810000000.0,-0.594,2.303,,12314877728637.0,28.0,30,1000,1.0003962411565395
MDKA.JK,13040000000000.0,31.37,62.73,25400000000000.0,36070000000000.0,-0.302,1.0,11289.5,13472946202119.7,38.7207481717607,8,1,1.033201395868075
MEDC.JK,34299999999999.996,188.2,203.88,34170000000000.0,33200000000000.004,-0.366,0.083,-0.059000000000000004,35812473077134.5,341.594440371273,18,1,1.0440954249893442
MIKA.JK,4050000000000.0,69.81,80.91,4340000000.0,4870000000.0,-0.025,0.159,0.0325,4048932635364.0,71.61,23,1000,0.9997364531762963
MLBI.JK,3110000000000.0,514.51,565.98,3520000000.0,3880000000.0,0.172,0.1,,3114907000000.0,439.0,2,1000,1.0015778135048232
MPMX.JK,12740000000000.0,,,12470000000.0,13510000000.0,,,0.1371,12742854000000.0,152.0,14,1000,1.0002240188383045
MPPA.JK,7020000000000.0,,,9190000000.0,,,,0.3582,7414473000000.0,-51.0,15,1000,1.0561927350427351
