symbol,sub_sector_id,estimate_overall_growth_current_year,estimate_overall_growth_next_year,estimate_overall_growth_next_five_years,estimate_growth_earnings_current_year,estimate_growth_earnings_next_year,estimate_growth_revenue_current_year,estimate_growth_revenue_next_year
BREN.JK,29,,,,,,,
BRIS.JK,19,0.15,0.20600000000000002,,0.14969767895455424,0.38677589233469845,0.1549016927333727,0.2827405517971233
BRMS.JK,8,,,,,,,3731.5207243406694
BRNA.JK,8,,,,,,,
BRPT.JK,8,,,,49.78026879227495,49.78026879227495,939.9385780506343,974.1664178916792
BSBK.JK,7,,,,,,,
BSDE.JK,7,-0.013000000000000001,0.005,0.1295,-0.013323018738181168,-0.008681450919718111,-0.010305325806239373,0.010211543056612525
BSIM.JK,19,,,,,,,
BSSR.JK,18,,,,,,,
BSWD.JK,19,,,,,,,
BTEK.JK,2,,,,,,,
BTEL.JK,6,,,0.05,,,61.69592476489028,68.80146290491118
BTPN.JK,19,0.005,0.129,0.2418,0.004531250000000024,0.13450520833333326,0.09017788551320315,0.12519756619309655
BTPS.JK,19,-0.114,0.33299999999999996,0.09609999999999999,-0.11389610389610391,0.1812987012987013,0.08056922404026617,0.19160019018018343
BUDI.JK,2,,,,,,,
BUKA.JK,30,-1.19,2.185,-1.215,-1.188051948051948,-0.7771428571428571,0.27681936870909213,0.5808239803064951
BUKK.JK,27,,,,,,,
BULL.JK,18,,,,,,,
BUMI.JK,18,,,0.6383,,,-0.686715306459365,-0.9991744524967511
BUVA.JK,11,,,,,,,
BVIC.JK,19,,,,,,,
BWPT.JK,2,,,0.3016,,,,
BYAN.JK,18,,,1.206,,,,
CAMP.JK,2,,,,,,,
CARE.JK,23,,,,,,,
CARS.JK,14,,,,,,,
CASA.JK,21,,,,,,,
CASS.JK,28,,,,,,,
CBUT.JK,2,,,,,,,
CEKA.JK,2,,,,,,,
CENT.JK,6,,,,,,,
CFIN.JK,20,,,0.3628,,,-0.3093156293933359,-0.2429340651702698
CHIP.JK,31,,,,,,,
CITA.JK,8,,,,,,,
CITY.JK,7,,,,,,,
CLAY.JK,11,,,,,,,
CLEO.JK,2,,,,,,,
CLPI.JK,8,,,,,,,
CMNP.JK,28,,,,,,,
CMNT.JK,8,,,,,,,
CMPP.JK,33,,,,,,,
CMRY.JK,2,,,,,,,
CNKO.JK,18,,,,,,,
CNMA.JK,11,,1.0270000000000001,,0.346890339773002,1.7299874091097942,0.26560707103986547,0.7904818168391634
CPIN.JK,2,0.209,0.188,0.1198,0.20893854748603355,0.4360335195530727,0.052093967694472616,0.1183883728124429
CPRO.JK,2,,,,,,,
CSAP.JK,14,,,,,,-0.30279443576513787,-0.20115908424714962
CSMI.JK,11,,,,,,,
CTBN.JK,8,,,,,,,
CTRA.JK,7,-0.076,0.187,0.034300000000000004,-0.07594059405940595,0.09663366336633668,0.03322095731482637,0.09238737480687369
CTTH.JK,5,,,,,,,
DART.JK,7,,,,,,,
DEAL.JK,32,,,,,,,
DEPO.JK,14,,,,,,,
DEWA.JK,18,,,,,,,
DFAM.JK,11,,,,,,,
DGIK.JK,27,,,,,,,
DILD.JK,7,,,0.08789999999999999,,,-0.028187320774597416,-0.005956311772709121
DIVA.JK,30,,,,,,,
DKFT.JK,8,,,,,,,
DLTA.JK,2,,,,,,,
DMAS.JK,7,-0.054000000000000006,-0.009000000000000001,,-0.053840063341251104,-0.06215360253365005,-0.011604980417240921,-0.011604980417240921
DMMX.JK,30,,,,,,,
DMND.JK,15,,,,,,,
DNAR.JK,19,,,,,,,
DNET.JK,21,,,,,,,
DOID.JK,18,,,0.4326,,,884.5433936181046,990.0938497321349
DPUM.JK,2,,,,,,,
DRMA.JK,10,,,,,,,
DSNG.JK,2,,,,,,,
DSSA.JK,18,,,,,,,
DUTI.JK,7,,,,,,,
DVLA.JK,24,,,,,,,
DWGL.JK,18,,,,,,,
DYAN.JK,25,,,,,,,
ECII.JK,14,,,,,,,
EDGE.JK,30,,,,,,,
ELPI.JK,32,,,,,,,
ELSA.JK,18,,,,,,,
ELTY.JK,7,,,0.0463,,,,
EMDE.JK,7,,,,,,,
EMTK.JK,30,-0.883,0.768,,-0.8834321512473431,-0.793936681955476,0.03126369371120681,0.13174910046882582
ENAK.JK,11,,,,,,,
ENRG.JK,18,,,0.19399999999999998,,,-0.5471285451697468,
EPMT.JK,15,,,,,,,
ERAA.JK,14,0.11900000000000001,0.217,,0.11899170189447318,0.3621418506341006,0.14005070341908346,0.2708331156730102
ERAL.JK,14,,,,,,,
ESSA.JK,8,-0.882,,11831.4004,-0.8854365058267911,-0.8854365058267911,418.25770130944056,370.59472052899895
ETWA.JK,8,,,,,,,
EXCL.JK,6,0.033,0.276,0.2698,0.03295238095238089,0.3179999999999999,0.07988492482703825,0.15503420939555462
FAPA.JK,2,,,,,,,
FAST.JK,11,,,,,,,
FASW.JK,8,,,,,,,
FILM.JK,13,,,,,,,
FIRE.JK,18,,,,,,,
FISH.JK,2,,,,,,,
FMII.JK,7,,,,,,,
FPNI.JK,8,,,,,,,
FREN.JK,6,,,,,,0.2988080832560369,
FUJI.JK,20,,,,,,,
GDST.JK,8,,,,,,,
GEMA.JK,1,,,,,,,
GEMS.JK,18,,,,,,,
GGRM.JK,3,1.421,0.052000000000000005,-0.315,1.4207612456747405,1.5471764705882354,0.08282872172827312,0.10985733288466373
GGRP.JK,8,,,,,,,
GIAA.JK,33,,,,,,-0.8979298848898672,
GJTL.JK,10,,,0.1519,,,-0.11476036912628945,
GMFI.JK,28,,,,,,-0.8688167140700896,-0.8490716009301238
GMTD.JK,7,,,,,,,
GOOD.JK,2,,,,,,,
GOTO.JK,30,0.731,0.495,-0.5243,-0.7218714653392929,-0.8596087835538988,0.5243409494282708,0.9772376245763236
GPRA.JK,7,,,,,,,
GSMF.JK,21,,,,,,,
GTBO.JK,18,,,,,,,
GTSI.JK,18,,,,,,,
GWSA.JK,11,,,,,,,
GZCO.JK,2,,,0.0354,,,,
HDFA.JK,20,,,,,,,
HDTX.JK,9,,,,,,,
HEAL.JK,23,0.614,0.303,0.12789999999999999,0.6080426356589146,1.0959302325581395,0.16895595708523994,0.32400072626233983
HELI.JK,33,,,,,,,
HERO.JK,15,,,,,,,
HITS.JK,18,,,,,,,
HMSP.JK,3,0.317,0.106,0.1343,0.31666666666666654,0.4566666666666666,0.07255267653910882,0.15150147348757775
HOKI.JK,2,,,,,,0.5555644617670409,0.9768631701622812
HOMI.JK,7,,,,,,,
HRME.JK,11,,,,,,,
HRTA.JK,9,,,,,,,
HRUM.JK,18,-0.22399999999999998,-0.11800000000000001,-3465.24,-0.24150463781505838,-0.3307493984341708,902.7561623074996,814.2366013863859
HUMI.JK,18,,,,,,,
IATA.JK,18,,,,,,,
IBOS.JK,2,,,,,,,
IBST.JK,6,,,,,,,
ICBP.JK,2,1.021,0.057,0.1288,1.0206615776081425,1.13676844783715,0.08692438148400627,0.18353302308687264
IDPR.JK,27,,,,,,,
IFII.JK,8,,,,,,,
IFSH.JK,8,,,,,,,
IGAR.JK,8,,,,,,,
IIKP.JK,12,,,,,,,
IKAI.JK,5,,,,,,,
IMJS.JK,33,,,,,,,
IMPC.JK,5,,,,,,,
INAF.JK,24,,,,,,,
INAI.JK,8,,,,,,,
INCO.JK,8,0.552,-0.172,1378.36,0.4578875077283391,0.20653200126566135,1090.543759912047,1029.780792334195
INDF.JK,2,0.522,0.107,0.0535,0.5219889502762431,0.6842955801104973,0.04637476663415569,0.12351975460278578
INDR.JK,9,,,,,,,
INDS.JK,10,,,,,,,
INDY.JK,18,-0.444,-0.478,-0.16570000000000001,-0.4624547514448576,-0.7195403173122389,802.8379921946653,651.2154100093458
INKP.JK,8,,,,,,,
INPC.JK,19,,,,,,,
INPP.JK,7,,,,,,,
INPS.JK,18,,,,,,,
INTA.JK,5,,,,,,,
INTP.JK,8,0.1,0.114,0.1109,0.1004268661226956,0.22629570867331508,0.08033437451273184,0.12932913072646118
IPCC.JK,28,,,,,,,
IPCM.JK,28,,,,,,,
IPOL.JK,8,,,,,,,
IPTV.JK,13,,,,,,,
IRRA.JK,23,,,,,,,
ISAT.JK,6,-0.308,0.303,0.0862,-0.3082685007064912,-0.0985342435436918,0.08122978883678476,0.1511728434262266
ISSP.JK,8,,,,,,,
ITMA.JK,18,,,,,,,
ITMG.JK,18,-0.478,-0.37799999999999995,-5074.8901000000005,-0.4998479472468739,-0.6887098411167093,731.7931856979939,582.8197224557799
JARR.JK,2,,,,,,,
JAWA.JK,2,,,,,,,
JAYA.JK,32,,,,,,,
JECC.JK,5,,,,,,,
JGLE.JK,11,,,,,,,
JIHD.JK,11,,,,,,,
JKON.JK,27,,,,,,0.40420044274404127,0.5072199329613074
JPFA.JK,2,-0.21600000000000003,0.424,0.085,-0.21581967213114753,0.11696721311475418,0.04794394602557763,0.10675295936450327
JRPT.JK,7,,,,,,0.05800222751523374,0.13768440364608817
JSMR.JK,28,-0.221,0.361,-0.0453,-0.22057230427774993,0.06092953206330738,-0.05263564783108138,0.07641334730841486
JSPT.JK,11,,,,,,,
JTPE.JK,25,,,,,,,
KAEF.JK,24,,,,,,-0.24006979624135832,-0.057894747395108616
KARW.JK,28,,,,,,,
KBLI.JK,5,,,,,,,
KBLV.JK,6,,,,,,,
KEEN.JK,29,,,,,,,
KEJU.JK,2,,,,,,,
KIAS.JK,5,,,,,,,
KIJA.JK,7,,,0.1515,,,0.48147528766816694,
KINO.JK,16,,,0.1772,,,,
KIOS.JK,30,,,,,,,
KKGI.JK,18,,,,,,,
KLBF.JK,24,-0.013999999999999999,0.12,0.1525,-0.014440929720808654,0.10424975931783817,0.08040842416100694,0.17407147052941158
KMTR.JK,8,,,,,,,
KOIN.JK,5,,,,,,,
KONI.JK,25,,,,,,,
KOTA.JK,11,,,,,,,
KPIG.JK,11,,,,,,,
KRAS.JK,8,,,0.272,,,-0.320759334482922,-0.34008380352311063
KREN.JK,30,,,,,,,
LAND.JK,7,,,,,,,
LAPD.JK,29,,,,,,,
LIFE.JK,4,,,,,,,
LINK.JK,6,,,0.0508,,,0.18056704282369673,0.25378050284377096
LPCK.JK,7,,,,,,0.2544145743674856,0.3991547175637339
LPGI.JK,4,,,,,,,
LPKR.JK,7,1.504,0.031,0.12390000000000001,-1.5042105263157894,-1.519736842105263,0.0010844968470267926,0.1448753946242376
LPLI.JK,7,,,,,,,
LPPF.JK,14,-0.158,0.10099999999999999,0.0681,-0.15768041237113398,-0.0725601374570447,0.07985287353187649,0.15886649842445283
LPPS.JK,21,,,,,,,
LSIP.JK,2,-0.32899999999999996,0.127,-0.0087,-0.32927631578947364,-0.24427631578947365,-0.07749640812431238,-0.04042179568486405
LTLS.JK,8,,,,,,,
MAHA.JK,18,,,,,,,
MAIN.JK,2,-3.575,2.861,,-3.5749999999999997,3.7916666666666665,0.06470685900980402,0.16018818477548866
MAPA.JK,14,0.187,0.249,,0.18665048543689314,0.48228155339805817,0.29473413568079143,0.634487064901992
MAPB.JK,11,,,,,,,
MAPI.JK,14,0.033,0.11599999999999999,0.7212999999999999,0.03281249999999991,0.15218749999999992,0.21170093260878764,0.3754142019961882
MARK.JK,5,,,,,,,
MASA.JK,10,,,0.2569,,,,
MASB.JK,19,,,,,,,
MAYA.JK,19,,,,,,,
MBAP.JK,18,,,,,,,
MBMA.JK,8,,,,,,,
