symbol,year,eps_estimate,revenue_estimate
BBNI.JK,2024,636.78,68200000000000.0
BBNI.JK,2025,717.65,73960000000000.0
BJTM.JK,2024,,3860000000000.0
BJTM.JK,2025,,4269999999999.9995
ESSA.JK,2024,62.34,5640000000000.0
ESSA.JK,2025,46.76,5260000000000.0
